,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Provideniya,64.38,-173.3,55.4,66,9,8.95,RU,1592448427
1,Zhezkazgan,47.8,67.71,68.0,34,0,6.71,KZ,1592448713
2,Chanute,37.68,-95.46,82.4,61,1,6.93,US,1592448713
3,Mataura,-46.19,168.86,44.87,75,0,3.09,NZ,1592448282
4,Ushuaia,-54.8,-68.3,33.8,86,2,5.82,AR,1592448335
5,Paulo Afonso,-9.41,-38.21,65.62,94,1,6.08,BR,1592448713
6,Busselton,-33.65,115.33,59.0,63,32,20.33,AU,1592448381
7,Yellowknife,62.46,-114.35,59.0,41,40,12.75,CA,1592448335
8,Cape Town,-33.93,18.42,52.0,75,0,6.93,ZA,1592448408
9,Bereda,43.27,-7.54,50.0,100,51,1.99,ES,1592448713
10,Atar,20.52,-13.05,91.98,24,0,11.72,MR,1592448713
11,Payo,-3.75,103.64,86.81,58,82,2.04,ID,1592448713
12,Port Elizabeth,-33.92,25.57,48.2,87,0,2.24,ZA,1592448423
13,Tasiilaq,65.61,-37.64,39.2,80,100,26.4,GL,1592448422
14,Progreso,21.28,-89.67,79.0,82,0,10.25,MX,1592448415
15,Thompson,55.74,-97.86,39.2,93,90,12.75,CA,1592448422
16,Dunedin,-45.87,170.5,46.0,65,27,11.01,NZ,1592448418
17,Norman Wells,65.28,-126.83,86.0,23,75,5.82,CA,1592448412
18,Pacific Grove,36.62,-121.92,73.4,28,1,8.05,US,1592448180
19,Gamba,-2.65,10.0,71.15,93,100,1.92,GA,1592448713
20,Grand Gaube,-20.01,57.66,68.0,88,60,8.99,MU,1592448457
21,Poya,-21.35,165.15,76.75,68,100,6.98,NC,1592448713
22,Punta Arenas,-53.15,-70.92,33.01,86,0,5.82,CL,1592448413
23,Port Hardy,50.7,-127.42,59.0,72,75,8.05,CA,1592448421
24,Castro,-24.79,-50.01,54.55,96,51,5.01,BR,1592448418
25,Hilo,19.73,-155.09,84.2,58,1,10.29,US,1592448412
26,Korla,41.76,86.15,85.1,17,41,5.59,CN,1592448713
27,Marzuq,14.4,46.47,81.99,20,39,4.72,YE,1592448713
28,George Town,5.41,100.34,86.0,79,20,1.12,MY,1592448210
29,Marau,-28.45,-52.2,61.52,82,55,9.28,BR,1592448713
30,Cherskiy,68.75,161.3,81.16,23,82,5.7,RU,1592448409
31,Kapaa,22.08,-159.32,82.4,65,75,14.99,US,1592448410
32,Nikolskoye,59.7,30.79,66.99,93,1,6.71,RU,1592448408
33,Hithadhoo,-0.6,73.08,84.0,75,9,7.25,MV,1592448416
34,Kutum,14.2,24.67,72.77,60,94,8.75,SD,1592448714
35,Mar del Plata,-38.0,-57.56,60.8,93,75,14.67,AR,1592448268
36,Havøysund,71.0,24.66,50.0,66,61,12.75,NO,1592448714
37,East London,-33.02,27.91,58.32,60,15,10.36,ZA,1592448433
38,Barra de Tecoanapa,16.52,-98.75,82.4,74,4,3.78,MX,1592448714
39,Lagoa,39.05,-27.98,62.65,79,94,7.09,PT,1592448407
40,Tuktoyaktuk,69.45,-133.04,46.4,93,75,6.93,CA,1592448409
41,Halifax,44.65,-63.57,60.01,80,36,7.81,CA,1592448697
42,Martinsburg,39.46,-77.96,66.0,100,90,8.05,US,1592448714
43,Hūn,29.13,15.95,71.47,32,0,9.17,LY,1592448714
44,Ribeira Grande,38.52,-28.7,62.8,78,95,7.56,PT,1592448282
45,Piney Green,34.72,-77.32,69.01,82,1,4.7,US,1592448714
46,San Cristobal,7.77,-72.22,66.43,93,44,2.24,VE,1592448714
47,Rikitea,-23.12,-134.97,75.65,84,91,17.43,PF,1592448267
48,Dingle,11.0,122.67,88.74,61,100,5.26,PH,1592448450
49,Susanville,40.42,-120.65,69.8,15,1,5.82,US,1592448714
50,Bonthe,7.53,-12.51,78.85,84,59,5.03,SL,1592448427
51,Port-Gentil,-0.72,8.78,73.02,90,100,10.09,GA,1592448714
52,New Norfolk,-42.78,147.06,45.0,75,62,2.82,AU,1592448408
53,Kaupanger,61.18,7.24,54.0,91,36,1.07,NO,1592448426
54,Soyo,-6.13,12.37,71.31,91,28,3.6,AO,1592448714
55,Te Anau,-45.42,167.72,42.94,68,10,7.56,NZ,1592448416
56,Geraldton,-28.77,114.6,66.2,55,40,21.92,AU,1592448421
57,Hobart,-42.88,147.33,45.0,70,42,6.93,AU,1592448408
58,Sena Madureira,-9.07,-68.66,75.07,75,55,1.45,BR,1592448715
59,Yasnyy,51.03,59.87,66.04,68,12,10.09,RU,1592448715
60,Butaritari,3.07,172.79,83.03,70,17,10.36,KI,1592448409
61,Abu Kamal,34.45,40.92,79.43,26,0,13.87,SY,1592448715
62,Fukuechō,32.69,128.84,75.2,100,75,13.87,JP,1592448428
63,Airai,-8.93,125.41,69.93,72,97,6.26,TL,1592448408
64,Smithers,54.78,-127.17,69.8,37,75,6.93,CA,1592448361
65,Avarua,-21.21,-159.78,75.2,64,4,8.05,CK,1592448417
66,Iqaluit,63.75,-68.51,37.4,74,75,10.29,CA,1592448409
67,Pevek,69.7,170.31,43.83,63,99,10.25,RU,1592448273
68,Atuona,-9.8,-139.03,80.69,73,57,13.78,PF,1592448412
69,Haines Junction,60.75,-137.51,59.25,48,88,9.33,CA,1592448427
70,Roald,62.58,6.13,55.99,93,22,5.82,NO,1592448434
71,New Richmond,45.12,-92.54,77.0,44,1,5.82,US,1592448715
72,Port Alfred,-33.59,26.89,52.0,77,0,3.0,ZA,1592448273
73,Asunción,-25.3,-57.64,77.0,57,43,16.11,PY,1592448478
74,Qaanaaq,77.48,-69.36,28.51,95,25,0.34,GL,1592448407
75,Trelleborg,55.38,13.16,55.0,93,0,2.24,SE,1592448715
76,Aklavik,68.22,-135.01,64.4,59,75,8.05,CA,1592448286
77,Chui,-33.7,-53.46,66.74,80,100,15.5,UY,1592448417
78,Vila Franca do Campo,37.72,-25.43,62.6,77,40,4.7,PT,1592448410
79,Saskylakh,71.92,114.08,59.79,63,86,11.45,RU,1592448413
80,Dikson,73.51,80.55,33.17,90,15,6.15,RU,1592448274
81,Plettenberg Bay,-34.05,23.37,59.9,49,0,7.67,ZA,1592448715
82,Châtellerault,46.8,0.53,53.01,100,20,5.82,FR,1592448715
83,Ancud,-41.87,-73.82,50.0,87,90,21.92,CL,1592448442
84,Kampene,-3.6,26.67,62.51,73,9,1.59,CD,1592448715
85,Mashhad,36.3,59.61,77.0,19,0,4.7,IR,1592448715
86,Jati,24.35,68.27,88.3,70,2,14.38,PK,1592448715
87,Daru,-9.08,143.21,80.37,80,65,19.82,PG,1592448434
88,Cap Malheureux,-19.98,57.61,68.0,88,52,8.99,MU,1592448445
89,Albanel,48.88,-72.45,78.8,47,20,10.29,CA,1592448716
90,Omboué,-1.57,9.26,71.64,93,64,3.31,GA,1592448716
91,Albany,42.6,-73.97,73.0,90,50,2.73,US,1592448270
92,Pangnirtung,66.15,-65.71,33.62,90,50,1.16,CA,1592448408
93,Lorengau,-2.02,147.27,85.77,71,12,10.96,PG,1592448275
94,Saint Paul Harbor,57.79,-152.41,51.8,87,90,18.34,US,1592448308
95,Kotma,23.2,81.97,86.16,54,86,15.66,IN,1592448716
96,Gaoual,11.75,-13.2,78.24,87,100,5.3,GN,1592448716
97,Salalah,17.02,54.09,84.2,89,75,4.7,OM,1592448716
98,Bengkulu,-3.8,102.27,84.36,64,67,2.24,ID,1592448157
99,Christchurch,-43.53,172.63,46.99,100,100,8.05,NZ,1592448630
100,Kamina,-8.74,24.99,54.82,68,8,5.21,CD,1592448716
101,Cabo San Lucas,22.89,-109.91,89.6,25,40,18.34,MX,1592448357
102,Lebu,-37.62,-73.65,53.11,81,100,25.05,CL,1592448414
103,Vaini,-21.2,-175.2,75.2,73,20,11.41,TO,1592448336
104,Puerto Ayora,-0.74,-90.35,69.01,92,71,8.7,EC,1592448416
105,Alofi,-19.06,-169.92,77.0,57,40,18.34,NU,1592448414
106,Krutikha,53.96,81.21,62.73,76,100,6.6,RU,1592448716
107,Mount Gambier,-37.83,140.77,57.2,67,87,14.99,AU,1592448455
108,Yar-Sale,66.83,70.83,40.87,66,53,14.43,RU,1592448296
109,Simbahan,6.3,120.58,84.58,71,91,5.75,PH,1592448716
110,Bulgan,48.81,103.53,66.79,52,18,5.57,MN,1592448716
111,Palmer,42.16,-72.33,69.8,68,40,5.82,US,1592448417
112,Rocha,-34.48,-54.33,67.39,84,100,15.75,UY,1592448595
113,San Fernando del Valle de Catamarca,-28.47,-65.79,55.99,70,3,1.01,AR,1592448716
114,Kaitangata,-46.28,169.85,48.0,60,40,8.01,NZ,1592448442
115,Prachuap Khiri Khan,11.82,99.78,80.37,81,100,2.73,TH,1592448716
116,Talnakh,69.49,88.4,42.8,52,100,4.47,RU,1592448416
117,Margate,51.38,1.39,60.01,99,100,1.01,GB,1592448304
