,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.74,-97.86,35.6,100,90,14.99,CA,1592504879
1,Cherskiy,68.75,161.3,65.26,41,7,7.74,RU,1592504879
2,Chabahar,25.29,60.64,85.37,81,8,1.52,IR,1592504879
3,Maragogi,-9.01,-35.22,79.88,76,11,12.06,BR,1592504713
4,Nikolskoye,59.7,30.79,69.8,73,75,6.71,RU,1592504779
5,Barrow,71.29,-156.79,39.2,80,1,9.17,US,1592504879
6,Albany,42.6,-73.97,87.01,46,4,5.93,US,1592504729
7,Ndola,-12.96,28.64,55.71,65,0,6.91,ZM,1592504879
8,Marki,52.32,21.1,77.0,65,23,1.12,PL,1592504879
9,Bridlington,54.08,-0.19,59.0,100,100,5.82,GB,1592504879
10,Broome,42.25,-75.83,84.0,57,31,4.76,US,1592504729
11,Clyde River,70.47,-68.59,33.8,90,90,9.17,CA,1592504879
12,São Miguel do Araguaia,-13.28,-50.16,86.16,42,7,9.26,BR,1592504879
13,Itarema,-2.92,-39.92,84.22,66,15,13.4,BR,1592504879
14,Sinnamary,5.38,-52.95,76.12,95,46,11.45,GF,1592504880
15,Saint Anthony,45.02,-93.22,79.0,61,1,8.05,US,1592504880
16,Cabo San Lucas,22.89,-109.91,95.0,58,40,3.36,MX,1592504880
17,Kaitangata,-46.28,169.85,39.54,83,25,8.01,NZ,1592504880
18,Yellowknife,62.46,-114.35,62.01,71,20,13.87,CA,1592504680
19,Kudat,6.88,116.85,78.8,94,75,4.7,MY,1592504880
20,Tabou,4.42,-7.35,79.0,78,80,7.34,CI,1592504880
21,General Roca,-39.03,-67.58,57.2,41,100,4.7,AR,1592504880
22,Merauke,-8.47,140.33,78.1,82,88,17.4,ID,1592504880
23,Lavrentiya,65.58,-171.0,48.56,64,8,1.12,RU,1592504880
24,Tasiilaq,65.61,-37.64,42.8,81,100,43.62,GL,1592504880
25,Puerto Baquerizo Moreno,-0.9,-89.6,77.0,73,20,18.34,EC,1592504880
26,Tiarei,-17.53,-149.33,77.0,94,75,6.93,PF,1592504880
27,Gōtsuchō,35.0,132.22,64.92,93,100,7.23,JP,1592504881
28,Avarua,-21.21,-159.78,69.8,77,32,8.05,CK,1592504746
29,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1592504881
30,Bluff,-46.6,168.33,39.0,83,1,3.0,NZ,1592504881
31,Tārānagar,28.67,75.04,103.64,14,47,10.8,IN,1592504881
32,Hithadhoo,-0.6,73.08,84.63,77,94,11.39,MV,1592504881
33,Oxford,51.75,-1.26,60.8,87,20,11.41,GB,1592504627
34,Sobolevo,54.43,31.9,71.24,79,2,4.63,RU,1592504881
35,Ushuaia,-54.8,-68.3,33.8,74,8,3.36,AR,1592504881
36,Sur,22.57,59.53,84.94,75,0,12.62,OM,1592504881
37,Boende,-0.22,20.87,75.56,51,25,1.72,CD,1592504881
38,Te Anau,-45.42,167.72,32.05,96,37,1.23,NZ,1592504881
39,Yaring,6.87,101.37,81.09,81,88,6.58,TH,1592504882
40,Karagay,58.27,54.94,48.36,67,32,2.93,RU,1592504882
41,São Filipe,14.9,-24.5,82.54,57,0,12.57,CV,1592504882
42,Vaini,-21.2,-175.2,69.8,83,20,10.29,TO,1592504734
43,Namwala,-15.75,26.44,57.31,52,66,6.35,ZM,1592504882
44,Hobart,-42.88,147.33,41.0,93,100,3.36,AU,1592504623
45,Port Alfred,-33.59,26.89,57.99,74,0,3.0,ZA,1592504882
46,São João da Barra,-21.64,-41.05,78.8,57,40,11.41,BR,1592504882
47,Jamestown,42.1,-79.24,77.0,57,90,3.36,US,1592504785
48,Bambous Virieux,-20.34,57.76,71.6,68,75,13.87,MU,1592504882
49,Torbay,47.67,-52.73,69.01,63,90,13.87,CA,1592504800
